Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,2,,,,9,0:32,2.8,7:56,7.3,12:27,1.2,19:40,,
2018,2,,,6:48,,,,,,,,,,83
2018,2,19,6:48,20:56,0:32,9,7:56,2.4,12:27,7.3,19:40,1.6,83,high
2018,2,L,20:56,,,,,,,,,,high,
2018,2,,,,9,0:59,2.4,8:23,7.3,13:06,1.6,20:17,,
2018,2,,,6:50,,,,,,,,,,76
2018,2,20,6:50,20:54,0:59,9,8:23,2,13:06,7.7,20:17,1.6,76,high
2018,2,M,20:54,,,,,,,,,,high,
2018,2,,,,9,1:26,2,8:51,7.7,13:47,1.6,20:55,,
2018,2,,,6:52,,,,,,,,,,67
2018,2,21,6:52,20:52,1:26,8.6,8:51,2,13:47,8.2,20:55,2.4,67,medium
2018,2,X,20:52,,,,,,,,,,medium,
2018,2,,,,8.6,1:53,2,9:21,8.2,14:32,2.4,21:37,,
2018,2,,,6:53,,,,,,,,,,58
2018,2,22,6:53,20:50,1:53,8.2,9:21,1.6,14:32,8.2,21:37,2.8,58,medium
2018,2,J,20:50,,,,,,,,,,medium,
2018,2,,,,8.2,2:20,1.6,9:55,8.2,15:23,2.8,22:25,,
2018,2,,,6:55,,,,,,,,,,51
2018,2,23,6:55,20:48,2:20,7.7,9:55,1.6,15:23,8.2,22:25,3.6,51,medium
2018,2,V,20:48,,,,,,,,,,medium,
2018,2,,,,7.7,2:49,1.6,10:35,8.2,16:27,3.6,23:26,,
2018,2,,,6:57,,,,,,,,,,50
2018,2,24,6:57,20:46,2:49,7.3,10:35,1.6,16:27,7.7,23:26,4.4,50,medium
2018,2,S,20:46,,,,,,,,,,medium,
2018,2,,,,7.3,3:20,1.6,11:25,7.7,17:48,4.4,,,
2018,2,,,6:59,,,,,,,,,,58
2018,2,25,6:59,20:43,3:20,6.9,11:25,1.6,17:48,7.7,,,58,medium
2018,2,D,20:43,,,,,,,,,,medium,
2018,2,,,,6.9,0:58,1.6,4:03,7.7,12:31,,19:23,,
2018,2,,,7:01,,,,,,,,,,70
2018,2,26,7:01,20:41,0:58,4.8,4:03,6,12:31,1.6,19:23,8.2,70,high
2018,2,L,20:41,,,,,,,,,,high,
2018,2,,,,4.8,3:10,6,5:20,1.6,13:55,8.2,20:45,,
2018,2,,,7:03,,,,,,,,,,84
2018,2,27,7:03,20:39,3:10,4.8,5:20,5.6,13:55,1.6,20:45,8.2,84,high
2018,2,M,20:39,,,,,,,,,,high,
2018,2,,,,4.8,4:38,5.6,7:21,1.6,15:19,8.2,21:45,,
2018,2,,,7:05,,,,,,,,,,96
2018,2,28,7:05,20:37,4:38,4.4,7:21,5.6,15:19,1.6,21:45,9,96,very high
2018,2,X,20:37,,,,,,,,,,very high,
2018,2,,,,4.4,,5.6,,1.6,,9,,,
2018,2,,,,,4:54,,8:11,,15:57,,22:13,,
2018,2,,,5:21,,,,,,,,,,100
2018,1,1,5:21,22:03,4:54,4,8:11,6,15:57,0.8,22:13,9.9,100,very high
2018,1,L,22:03,,,,,,,,,,very high,
2018,1,,,,4,5:48,6,9:10,0.8,16:47,9.9,22:59,,
2018,1,,,5:22,,,,,,,,,,103
2018,1,2,5:22,22:03,5:48,4,9:10,6,16:47,0,22:59,10.3,103,very high
2018,1,M,22:03,,,,,,,,,,very high,
2018,1,,,,4,6:34,6,10:03,0,17:36,10.3,23:42,,
2018,1,,,5:23,,,,,,,,,,101
2018,1,3,5:23,22:02,6:34,3.6,10:03,6.5,17:36,0,23:42,10.8,101,very high
2018,1,X,22:02,,,,,,,,,,very high,
2018,1,,,,3.6,7:15,6.5,10:54,0,18:23,10.8,,,
2018,1,,,5:25,,,,,,,,,,95
2018,1,4,5:25,22:02,7:15,3.2,10:54,6.5,18:23,-0.4,,,95,very high
2018,1,J,22:02,,,,,,,,,,very high,
2018,1,,,,3.2,0:24,6.5,7:55,-0.4,11:44,,19:10,,
2018,1,,,5:26,,,,,,,,,,86
2018,1,5,5:26,22:02,0:24,10.8,7:55,3.2,11:44,6.9,19:10,0,86,high
2018,1,V,22:02,,,,,,,,,,high,
2018,1,,,,10.8,1:04,3.2,8:35,6.9,12:34,0,19:55,,
2018,1,,,5:27,,,,,,,,,,75
2018,1,6,5:27,22:01,1:04,10.3,8:35,2.8,12:34,6.9,19:55,0.4,75,high
2018,1,S,22:01,,,,,,,,,,high,
2018,1,,,,10.3,1:43,2.8,9:15,6.9,13:26,0.4,20:41,,
2018,1,,,5:29,,,,,,,,,,64
2018,1,7,5:29,22:00,1:43,9.9,9:15,2.8,13:26,6.9,20:41,1.2,64,medium
2018,1,D,22:00,,,,,,,,,,medium,
2018,1,,,,9.9,2:20,2.8,9:56,6.9,14:23,1.2,21:27,,
2018,1,,,5:30,,,,,,,,,,54
2018,1,8,5:30,22:00,2:20,9.5,9:56,2.4,14:23,6.9,21:27,2,54,medium
2018,1,L,22:00,,,,,,,,,,medium,
2018,1,,,,9.5,2:56,2.4,10:39,6.9,15:25,2,22:17,,
2018,1,,,5:32,,,,,,,,,,48
2018,1,9,5:32,21:59,2:56,8.6,10:39,2.4,15:25,6.9,22:17,2.8,48,low
2018,1,M,21:59,,,,,,,,,,low,
2018,1,,,,8.6,3:32,2.4,11:25,6.9,16:38,2.8,23:16,,
2018,1,,,5:33,,,,,,,,,,47
2018,1,10,5:33,21:58,3:32,8.2,11:25,2.4,16:38,6.5,23:16,4,47,low
2018,1,X,21:58,,,,,,,,,,low,
2018,1,,,,8.2,4:08,2.4,12:16,6.5,18:05,4,,,
2018,1,,,5:35,,,,,,,,,,49
2018,1,11,5:35,21:57,4:08,7.3,12:16,2.4,18:05,6.9,,,49,low
2018,1,J,21:57,,,,,,,,,,low,
2018,1,,,,7.3,0:36,2.4,4:50,6.9,13:12,,19:34,,
2018,1,,,5:36,,,,,,,,,,54
2018,1,12,5:36,21:57,0:36,4.4,4:50,6.9,13:12,2,19:34,6.9,54,medium
2018,1,V,21:57,,,,,,,,,,medium,
2018,1,,,,4.4,2:24,6.9,5:43,2,14:11,6.9,20:45,,
2018,1,,,5:38,,,,,,,,,,60
2018,1,13,5:38,21:56,2:24,4.8,5:43,6,14:11,2,20:45,7.7,60,medium
2018,1,S,21:56,,,,,,,,,,medium,
